0	0-dimensional biomaterials lack inductive properties.
2	1 in 5 million in UK have abnormal PrP positivity.
4	1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.
6	10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.
9	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
10	4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.
11	4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.
12	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
14	5'-nucleotidase metabolizes 6MP.
15	50% of patients exposed to radiation have activated markers of mesenchymal stem cells.
17	53% of perinatal mortality is due to low birth weight.
18	61% of colorectal cancer patients are diagnosed with regional or distant metastases.
19	7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.
20	7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.
21	70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.
22	76-85% of people with severe mental disorder receive no treatment in low and middle income countries.
24	90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.
25	90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.
26	A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.
27	A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.
28	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).
30	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
32	A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.
34	A deficiency of folate increases blood levels of homocysteine.
35	A deficiency of vitamin B12 decreases blood levels of homocysteine.
37	A deficiency of vitamin B6 decreases blood levels of homocysteine.
39	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
40	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
41	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
43	A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.
44	A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.
45	A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.
46	A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.
47	A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.
52	ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.
55	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
58	APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.
60	ART has no effect on the infectiveness of HIV-positive people.
61	ART substantially reduces infectiveness of HIV-positive people.
62	ATF4 is a general endoplasmic reticulum stress marker.
63	ATM and Rad3 related protein are critical for sensing DNA damage.
64	ATM and Rad3 related protein have no role in sensing DNA damage.
66	AZT given with ribavirin increases anemia.
67	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.
68	Activated Cdk5 regulates DNA damage-induced neuronal death.
69	Activation of PPM1D enhances p53 function.
71	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.
73	Activator-inhibitor pairs are provided ventrally by Xrl-sizzled.
74	Active H. pylori urease has a polymeric structure consisting of five distinct subunits.
76	Active Ly49Q induces neutrophil polarization.
77	Active Ly49Q prevents neutrophil polarization.
78	Active caspase-11 participate in regulating phagosome-lysosome fusion.
79	Active caspase-11 protein promotes pyroptosis.
80	Acute ablation of KRAS causes severe growth impairment.
81	Acute ablation of Snail in the embryonic cortex affects the proliferation and number of embryonic cortical precursors.
82	Addition of BMP4, activin A, CHIR99021, and SU504 to reprogramming fibroblasts generates, expands and maintains cardiovascular progenitor cells (CPCs)
85	Adult tissue-resident macrophages are seeded before birth.
86	Adult tissue-resident macrophages are seeded before birth.
88	Adult tissue-resident macrophages possess a self-renewing capacity.
89	Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.
90	Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.
91	Aged patients are less susceptible to ischaemia/reperfusion injury.
92	Aged patients are more susceptible to ischaemia/reperfusion injury.
93	Aggravated inflammation is dependent on NLRP3 inflammasome activation.
95	Albendazole is used to treat soil-transmitted helminths.
96	Algerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.
98	Alirocumab treatment reduces apo(a) fractional clearance rate.
104	Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.
105	Alteration of origin firing causes changes in termination zones of Okazaki fragments.
106	Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.
108	Amitriptyline is an effective treatment for chronic tension-type headaches.
109	An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.
111	Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.
112	Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.
114	Anthrax spores are very difficult to dispose once they are dispersed.
116	Anthrax spores remain deadly until affected areas are decontaminated.
119	Antidepressants increase the severity of migraines.
120	Antidepressants reduce the severity of migraines.
121	Antimicrobial agents are less effective due to the pressure of antimicrobial usage.
122	Antimicrobial agents are more effective due to the pressure of antimicrobial usage.
123	Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.
126	Approximately 250,000 people are infected with human T-cell lymphotropic virus type 1 in the United Kingdom.
134	Assessing treatment adherence is more beneficial to clinical practice than measuring routine outcomes.
138	Asymptomatic visual impairment screening in elderly populations leads to improved vision.
139	At least 85% of patients exposed to radiation have activated markers of myofibroblasts.
144	Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.
149	Autophagy deficiency in the liver increases vulnerability to insulin resistance.
152	B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.
153	B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.
154	B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.
155	BCL-2 activation antagonizes the apoptotic effects of c-Myc.
156	BCL-2 promotes the apoptotic effects of c-Myc.
157	BLM gene encodes RecQ-class DNA helicase.
159	BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.
160	Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.
161	Bacteriophagaes MS2 and Qβ are members of the Leviviridae.
164	Bariatric surgery increases rates of colorectal cancer.
165	Bariatric surgery increases rates of postmenopausal breast cancer.
